	Sz	hEndo	hPeric	hMgl	hOPC	hRgl2c	hRgl2b	hRgl2a	hRgl3	hRgl1	hProgM	hProgBP	hProgFPL	hProgFPM	hNProg	hNbM	hNbML1	hRN	hNbML5	hDA0	hDA1	hDA2	hNbGaba	hGaba	hSert	hOMTN
ICA1	0.0125	0.4999	0.0734	0.3728	0.0377	0.0406	0.0517	0.0286	0.1543	0.0333	0.0568	0.031	0.0434	0.0196	0.0148	0.0572	0.0451	0.0581	0.0276	0.0727	0.058	0.0589	0.0952	0.14	1.2277	0.0883
ICA1L	0.1685	0.1645	0.1062	0.125	0.3248	0.2215	0.2579	0.4745	0.2135	0.2597	0.1211	0.1437	0.3497	0.1105	0.0914	0.1892	0.1647	0.1195	0.1761	0.4837	0.5128	0.1327	0.5888	0.4858	0.2931	0.3068
ICAM1	0.0043	1.4545	0.4205	1.771	0.1982	0.0548	0.0258	0.0298	0.0352	0.0438	0.0274	0.0179	0.0345	0.0203	0.0193	0.0197	0.0335	0.0425	0.0356	0.0354	0.0421	0.0415	0.0627	0.0641	0.0942	0.0386
ICAM2	0.0055	3.9069	0.0623	0.236	0.0738	0.0805	0.0363	0.0423	0.0527	0.0554	0.0377	0.0232	0.0469	0.0298	0.0257	0.029	0.0418	0.0548	0.0455	0.1132	0.1341	0.137	0.0854	0.0418	0.1227	0.0277
ICAM3	1.0698	1.6859	1.1566	1.2375	1.9233	1.3022	0.966	1.3291	1.302	1.2579	1.636	1.1879	1.7825	1.9766	0.8207	1.3525	1.031	0.9814	0.9662	0.9219	1.2706	1.0468	1.1237	0.9627	1.5169	1.4275
ICAM4	0.0809	8.3146	2.2397	0.4014	0.3679	0.4084	0.2571	0.3092	0.3394	0.7941	0.2817	0.3923	0.3348	0.2483	0.2314	0.4917	0.3058	0.3304	0.2942	0.2904	0.3444	0.3483	0.4034	0.2803	0.4548	0.4742
ICAM5	0.4353	1.392	0.9848	0.8371	0.8924	2.1635	0.6606	2.238	0.8366	1.5838	0.7774	0.592	1.6541	0.695	0.5843	0.6352	0.73	0.689	0.7011	0.6387	1.8986	0.7527	0.7957	0.6657	1.0022	0.7248
ICE1	0.3383	0.2785	0.2237	0.2634	0.2822	0.2291	0.264	0.2931	0.3022	0.4147	0.2358	0.2029	0.268	0.2456	0.2874	0.2579	0.3151	0.2668	0.3199	0.168	0.4199	0.2474	0.3462	0.3261	0.4841	0.2895
ICE2	0.3085	0.2856	0.265	0.3608	0.2136	0.4306	0.2785	0.3987	0.2646	0.4715	0.4295	0.2748	0.4617	0.2915	0.3091	0.2	0.4067	0.2299	0.1693	0.1671	0.2096	0.1888	0.1712	0.1534	0.3954	0.2293
ICK	0.2581	0.2037	0.1895	0.2042	0.4657	0.2037	0.217	0.1943	0.2385	0.1778	0.2111	0.2448	0.2328	0.1373	0.1703	0.2438	0.3522	0.4346	0.2575	0.1461	0.2821	0.3151	0.2704	0.3925	0.4029	0.2852
ICMT	0.223	0.2482	0.1809	0.1997	0.2811	0.2579	0.1763	0.1984	0.1895	0.3012	0.2358	0.1429	0.3092	0.2325	0.1688	0.1706	0.1292	0.143	0.1337	0.1336	0.1587	0.1643	0.1718	0.113	0.2531	0.1716
ICOSLG	0.2077	10.8711	2.3876	0.6652	0.6585	0.6336	0.4299	0.682	0.6373	0.6119	0.531	0.4437	0.6322	0.4544	0.4279	0.4481	0.524	0.5601	1.3583	1.4059	0.5874	0.564	0.6321	0.4847	0.7523	0.5117
ICT1	0.1314	0.1644	0.1175	0.1616	0.1015	0.2119	0.0918	0.11	0.1336	0.1199	0.0947	0.1442	0.156	0.0768	0.1186	0.1291	0.1845	0.0764	0.0997	0.0698	0.1445	0.0798	0.16	0.0734	0.2769	0.1496
ID1	0.22	1.8134	0.2842	0.1701	0.3571	0.4534	0.2248	0.2971	0.3858	0.2879	0.1627	0.1433	0.2736	0.1453	0.133	0.1358	0.1425	0.2157	0.1359	0.1347	0.2434	0.1247	0.1924	0.12	0.2205	0.173
ID2	2.7286	2.2877	2.1329	2.5038	2.1926	1.9815	1.8771	2.7674	2.253	1.6585	1.58	2.3325	2.7712	1.7038	1.3061	1.4801	1.8994	1.3273	1.0849	0.9882	1.549	1.2062	1.2852	1.0474	2.0901	1.9937
ID2-AS1	0.4424	1.1107	0.8035	0.814	0.7841	1.5557	0.5967	0.5459	4.1237	1.4178	0.6713	0.8871	1.307	0.6148	1.5656	0.5788	0.6865	0.6757	0.6282	0.6016	0.7824	0.6969	0.7449	0.5728	0.9634	1.3782
ID3	0.7205	5.0953	1.9759	0.5368	0.6064	1.4205	0.7665	0.756	2.738	2.1213	1.1606	0.9392	1.3889	1.0629	0.3907	0.3479	0.4623	0.3628	0.338	0.3048	0.4494	0.3575	0.3699	0.2927	0.6422	0.5409
ID4	2.8362	1.8987	1.628	1.6742	2.6376	3.3559	4.7024	9.9775	13.4568	9.6616	4.5951	2.2929	4.3889	1.6209	1.4562	1.2996	1.3291	1.3284	1.9178	1.2565	1.9466	1.7718	1.7253	2.8958	3.0132	2.2399
IDE	0.1137	0.1603	0.1026	0.1972	0.1225	0.2843	0.1338	0.1156	0.2067	0.1201	0.1306	0.1461	0.1675	0.0715	0.0999	0.1204	0.0713	0.1479	0.0737	0.0616	0.1464	0.0787	0.0939	0.1176	0.1837	0.124
IDH1	2.0444	1.3246	1.1403	1.1092	3.3769	3.0499	1.6166	2.7345	1.4121	1.1781	1.4593	2.296	1.7736	1.2705	0.9924	1.2501	1.884	1.6955	0.8341	0.8651	1.2697	0.9603	0.9235	0.8921	1.7119	2.0767
IDH1-AS1	1.3844	1.8067	1.1074	1.4152	1.3733	1.9725	1.0519	1.6505	1.9458	1.8203	1.6726	1.374	1.7803	1.0992	1.2014	1.0692	1.1756	1.621	1.077	1.031	1.4083	1.1677	1.2579	1.0426	1.8619	1.7066
IDH2	0.252	0.1826	0.1577	0.353	0.2053	0.1788	0.1835	0.2122	0.2162	0.2122	0.2845	0.2177	0.229	0.3055	0.1519	0.1887	0.2224	0.1549	0.1985	0.1292	0.2054	0.1529	0.198	0.1211	0.2915	0.2804
IDH3A	0.1589	0.2483	0.2133	0.1983	0.1466	0.127	0.1055	0.2228	0.1345	0.122	0.1382	0.1232	0.192	0.0977	0.0926	0.1547	0.105	0.1755	0.1855	0.2585	0.262	0.1548	0.4635	0.2035	0.259	0.2148
IDH3B	0.5154	0.6259	0.3869	0.3896	0.6302	0.3526	0.3323	0.3771	0.3762	0.3956	0.4288	0.3847	0.4792	0.4622	0.2872	0.3838	0.4496	0.2898	0.2941	0.2325	0.3751	0.2592	0.2743	0.2181	0.4468	0.5455
IDH3G	0.5579	0.4717	0.6704	0.3906	0.384	0.3599	0.2976	0.4045	0.6263	0.4737	0.3293	0.3939	0.5287	0.2885	0.3308	0.2652	0.3245	0.3458	0.3277	0.23	0.4225	0.3905	0.3801	0.2293	0.6666	0.4516
IDI1	3.7043	2.833	3.0056	1.9283	2.196	2.8343	2.1417	5.1097	3.5068	3.0687	2.0031	2.0609	2.6553	1.7858	1.4358	1.7862	1.8049	1.7229	1.4975	1.3909	2.2421	1.6345	1.6094	1.4818	2.8175	2.4243
IDI2-AS1	1.0171	1.171	1.8991	1.204	1.1677	1.2389	1.2875	1.3253	1.655	1.1422	1.0485	1.1992	1.6143	0.8895	0.793	2.0669	1.4335	1.0016	0.9573	0.856	1.1703	0.9854	1.0915	0.8868	1.531	1.4397
IDNK	0.0084	0.1592	0.0548	0.0553	0.0826	0.0461	0.02	0.0992	0.2485	0.1083	0.0628	0.0233	0.0278	0.019	0.0149	0.0266	0.0792	0.0314	0.0269	0.0566	0.0627	0.0311	0.1076	0.0453	0.076	0.0387
IDO1	0.726	1.2234	1.0376	1.2421	1.1628	1.2882	1.0002	1.0566	2.1616	1.2701	1.1032	1.6567	1.3476	1.0444	0.8799	0.9639	1.0852	1.0068	0.9701	0.9922	1.2341	2.6642	1.1958	2.3045	1.4666	1.1989
IDS	0.7104	0.5073	0.4423	0.5113	0.412	0.4627	0.6969	0.738	0.9072	0.6456	0.4727	0.3497	0.5351	0.3565	0.2841	0.8555	0.7399	0.5433	0.9339	0.8554	1.1523	0.9424	1.33	1.4076	1.9531	1.0122
IDUA	0.6535	0.8213	0.7975	1.2443	0.6996	0.7951	0.6971	1.3734	1.1821	1.019	0.588	0.9077	0.8942	0.5135	0.73	0.6359	0.6044	0.6087	0.7734	0.541	0.7324	0.6413	0.7119	0.5375	1.7557	0.7552
IER2	0.7764	3.0141	2.2224	2.4352	0.7009	1.0023	0.79	1.4599	0.7466	0.7566	0.4663	0.4264	0.6357	0.4474	0.3977	0.4026	0.4436	0.3596	0.4468	0.3629	0.507	0.5041	0.3963	0.3196	0.6909	0.5148
IER3IP1	0.7622	0.709	0.7401	0.4783	0.5244	2.0433	0.3722	0.5385	0.61	0.473	0.501	0.5269	0.5621	0.53	0.3789	0.3612	0.5236	0.3809	0.404	0.3948	0.4786	0.3996	0.3972	0.3605	0.7933	0.5251
IER3_loc1	0.1304	1.3448	1.1759	2.2774	0.2334	0.2758	0.096	0.264	0.1771	0.126	0.1357	0.1236	0.3553	0.1225	0.1107	0.1442	0.0998	0.1947	0.0928	0.1162	0.1112	0.2092	0.1458	0.0873	0.2128	0.2121
IER5	0.807	1.4341	0.9945	5.5986	0.5098	0.5813	0.6524	0.8132	0.6445	0.6401	0.7377	0.453	0.8735	0.5852	0.4615	0.641	0.4484	0.3839	0.4744	0.3015	0.5985	0.3988	0.4137	0.3302	0.6546	0.5358
IER5L	0.1322	0.3811	0.3372	0.1441	0.1676	0.1659	0.1516	0.1177	0.1096	0.2381	0.1834	0.2439	0.2982	0.1452	0.0845	0.0964	0.1907	0.2978	0.1348	0.1547	0.1354	0.1631	0.1296	0.1367	0.1724	0.1629
IFFO1	0.1417	0.3107	0.2671	0.3702	0.1689	0.1355	0.1093	0.1186	0.1311	0.1875	0.1321	0.1178	0.1793	0.1524	0.0904	0.1404	0.1325	0.091	0.0938	0.0848	0.1899	0.307	0.2192	0.2475	0.1772	0.1279
IFFO2	0.0681	0.3623	0.4057	0.2907	0.2002	0.3728	0.0791	0.1192	0.1738	0.2886	0.0657	0.0679	0.0813	0.0635	0.0746	0.0777	0.1652	0.115	0.0964	0.1549	0.0877	0.0902	0.2647	0.1292	0.229	0.0962
IFI16	0.0046	1.2371	0.4862	1.3761	0.2585	0.0895	0.0339	0.1043	0.0249	0.0303	0.019	0.0236	0.0484	0.017	0.0271	0.0133	0.0231	0.0614	0.0844	0.0249	0.0624	0.03	0.0428	0.0704	0.1606	0.039
IFI27	0.0604	8.3909	0.6116	0.3479	0.2931	0.3373	0.6942	0.7855	0.2402	0.2749	0.4278	0.3009	0.242	0.1859	0.1626	0.3332	0.2257	0.2507	0.228	0.2145	0.2916	0.6079	0.3204	0.2066	0.4073	0.1934
IFI27L1	0.2359	0.3033	0.1523	0.264	0.3136	0.658	0.2825	0.2786	0.5341	0.2435	0.2158	0.1623	0.2892	0.1785	0.1031	0.124	0.1315	0.1166	0.1224	0.1109	0.2383	0.1581	0.1458	0.1399	0.3356	0.2865
IFI27L2	0.2749	0.3145	0.6789	0.5488	0.7876	0.6249	0.5978	1.2274	1.577	0.7393	0.4235	0.2397	0.2348	0.1929	0.1342	0.1812	0.1818	0.1658	0.1571	0.1424	0.1994	0.1967	0.164	0.1422	0.2727	0.5342
IFI30	0.3019	0.583	1.5827	38.0218	1.4079	0.6885	0.5004	0.8067	0.6418	0.6352	0.573	0.4785	0.641	0.5026	0.4484	0.884	0.5589	0.5731	0.5336	0.5692	0.6561	0.5569	0.6059	1.0177	0.7867	0.5593
IFI35	0.0723	2.7179	1.914	0.3526	0.322	0.3487	0.2336	0.762	2.0345	0.6652	0.2295	0.1734	0.2775	0.2144	0.358	0.202	0.2699	0.2834	0.2456	0.5922	0.3247	0.2834	0.3374	0.2444	0.4467	0.2066
IFI44	0.0112	0.6093	0.1926	0.0493	0.1323	0.1415	0.2141	0.1872	0.104	0.03	0.0363	0.0815	0.0747	0.0188	0.0257	0.0249	0.0422	0.0285	0.0449	0.109	0.104	0.0328	0.045	0.0864	0.074	0.0272
IFI44L	0.0099	0.5276	0.0838	0.1346	0.1887	0.3516	0.2167	0.6804	0.1801	0.2087	0.0653	0.0929	0.079	0.0202	0.028	0.0298	0.0499	0.0678	0.0266	0.0544	0.0695	0.0338	0.0507	0.1274	0.0756	0.0183
IFI6	0.0223	0.742	0.1466	0.1149	0.0498	0.2195	0.1978	0.2525	0.2471	0.3399	0.1094	0.0704	0.1325	0.0379	0.0302	0.0243	0.0542	0.0613	0.0314	0.1323	0.1113	0.0399	0.0547	0.0745	0.1828	0.0741
IFIH1	0.3397	3.9597	0.5472	5.6345	0.7655	0.835	0.6101	1.6135	0.7967	1.8093	0.6631	0.5434	0.7859	0.6518	0.5564	0.5775	0.6937	0.7043	0.7028	0.6766	0.7697	0.7504	0.7537	1.3544	0.9566	0.6848
IFIT1	0.0134	0.1599	0.1211	0.0612	0.2729	0.2275	0.1117	0.3124	0.1291	0.1593	0.1497	0.1034	0.2304	0.0589	0.0329	0.0222	0.0595	0.0331	0.032	0.0593	0.0422	0.0367	0.1164	0.0814	0.0811	0.0338
IFIT2	0.0099	0.2053	0.3674	0.093	0.1386	0.2341	0.0343	0.2101	0.1391	0.112	0.0702	0.0394	0.0417	0.0298	0.0457	0.0255	0.0426	0.0476	0.0445	0.0886	0.0501	0.1088	0.0781	0.0366	0.2429	0.0487
IFIT3	0.0068	0.1972	0.3406	0.0499	0.0371	0.0843	0.031	0.0721	0.0777	0.1406	0.0188	0.0212	0.0248	0.0321	0.025	0.0418	0.0465	0.092	0.0249	0.0534	0.0992	0.0308	0.0958	0.0184	0.071	0.0492
IFIT5	0.3577	0.2733	0.2757	0.2195	0.221	0.3038	0.308	0.4443	0.3071	0.3676	0.2483	0.2351	0.3781	0.4121	0.224	0.369	0.2144	0.2079	0.254	0.2403	0.2645	0.3623	0.2822	0.2217	0.5975	0.4122
IFITM1	0.0047	0.8263	2.9476	0.1774	0.1156	0.056	0.0239	0.0723	0.0354	0.0393	0.0241	0.0316	0.0333	0.0235	0.0174	0.0207	0.0319	0.0368	0.0344	0.0798	0.0425	0.0945	0.0638	0.0289	0.0868	0.0187
IFITM10	0.1993	0.3226	0.379	2.9509	0.7738	0.447	0.4619	0.5881	0.8921	1.1137	0.2956	0.3672	0.5737	0.2697	0.232	0.4104	0.3225	0.5551	0.3116	0.9792	0.3811	0.6706	1.5568	0.523	0.5676	0.3767
IFITM2	0.056	3.2372	1.6304	0.4558	0.1413	0.1123	0.0811	0.0564	0.0947	0.0838	0.2064	0.1076	0.2638	0.1099	0.0681	0.0621	0.1038	0.0519	0.0449	0.0817	0.106	0.0549	0.0677	0.0538	0.2983	0.0736
IFITM3	0.0877	7.2204	9.1533	0.2459	0.1602	0.2131	0.1575	0.4948	0.8212	0.4533	0.723	0.4235	0.482	0.5369	0.119	0.0981	0.1605	0.0875	0.0656	0.1948	0.1142	0.1567	0.0929	0.0563	0.143	0.1067
IFNAR1	0.3901	0.7336	0.47	0.3746	0.5347	0.5545	0.3401	0.4785	0.3996	0.3381	0.3366	0.2671	0.3405	0.2093	0.1748	0.1961	0.2271	0.1955	0.2081	0.1929	0.4948	0.314	0.2459	0.2787	0.4325	0.2914
IFNAR2	0.0204	0.392	0.0713	0.1434	0.1362	0.146	0.0706	0.0545	0.0802	0.0466	0.0462	0.0208	0.0393	0.0268	0.0209	0.07	0.0599	0.0437	0.1327	0.041	0.1048	0.0751	0.1186	0.0852	0.0646	0.0493
IFNGR1	0.391	1.0703	0.3515	3.3164	0.3146	0.276	0.367	0.5013	0.3186	0.3674	0.3736	0.3428	0.31	0.3548	0.3575	0.2158	0.3598	0.2347	0.4338	0.1989	0.3661	0.2109	0.3041	0.2318	0.5059	0.2984
IFNGR2	0.2445	0.3959	0.1909	0.4995	0.3078	0.2649	0.1698	0.2154	0.2651	0.1953	0.1644	0.1681	0.3605	0.141	0.1092	0.2238	0.1477	0.2855	0.1112	0.1531	0.21	0.176	0.1842	0.2224	0.2307	0.1872
IFNLR1	1.0093	1.3427	1.134	1.2495	1.3253	1.4062	1.1207	1.181	1.4151	1.329	1.2189	1.0669	1.4526	1.1148	1.02	1.579	1.1706	1.1266	1.9239	1.1093	1.3265	1.2066	2.8284	2.2058	1.6552	1.8812
IFRD1	0.8334	1.4135	0.805	1.0338	0.4907	0.5123	0.5486	0.5501	0.5786	0.5302	0.4995	0.4176	0.6422	0.4282	0.3577	0.4796	0.5185	0.5144	0.4679	0.3307	0.8618	0.6968	0.4596	0.389	0.6958	0.5834
IFRD2	0.0609	0.2037	0.1221	0.1094	0.066	0.0947	0.1146	0.1417	0.1741	0.0616	0.0937	0.1015	0.1518	0.0738	0.0777	0.0591	0.0763	0.0696	0.0834	0.08	0.0832	0.2184	0.1109	0.0426	0.1123	0.0973
IFT122	0.2588	0.2061	0.16	0.2072	0.212	0.1857	0.2626	0.2538	0.3758	0.2979	0.4758	0.292	0.3266	0.3139	0.1544	0.143	0.199	0.1366	0.1279	0.1324	0.2185	0.1304	0.2613	0.1759	0.2811	0.1983
IFT140	0.1423	0.1226	0.1	0.1617	0.2318	0.1527	0.2022	0.2552	0.223	0.182	0.1144	0.0955	0.2585	0.0901	0.0875	0.1452	0.1486	0.1092	0.1085	0.0896	0.1551	0.0916	0.2292	0.1264	0.1891	0.1118
IFT172	0.1021	0.1646	0.0891	0.1396	0.1618	0.2118	0.2312	0.2586	0.2785	0.4149	0.0877	0.1175	0.1201	0.0838	0.0707	0.0917	0.0754	0.2506	0.0792	0.1453	0.2549	0.0872	0.2362	0.0783	0.2404	0.1236
IFT20	0.3795	0.5998	0.2541	0.2543	0.322	0.2802	0.2054	0.2965	0.4918	0.3104	0.2907	0.2478	0.4322	0.3393	0.2212	0.2784	0.2667	0.2135	0.246	0.2886	0.2744	0.2551	0.2036	0.2024	0.3959	0.3809
IFT22	0.7102	0.487	0.4139	0.4251	0.4852	0.8434	0.4325	1.0138	0.9625	0.9397	0.9099	0.5196	1.0133	0.569	0.2945	0.4429	0.4364	0.4733	0.4009	0.5176	0.4479	0.4435	0.4138	0.2771	0.8569	0.6435
IFT27	0.1984	0.152	0.1447	0.1785	0.1992	0.1492	0.1267	0.2197	0.4017	0.279	0.3646	0.1409	0.3526	0.2573	0.1028	0.1218	0.2426	0.2183	0.156	0.2021	0.147	0.1644	0.1871	0.1012	0.2631	0.1457
IFT43	0.4573	0.3226	0.4599	0.2912	0.3391	0.4424	0.2448	0.6069	0.6043	0.5954	0.4884	0.2715	0.4643	0.4321	0.335	0.2355	0.3965	0.2484	0.2425	0.246	0.4241	0.333	0.2788	0.1937	0.4077	0.3545
IFT46	0.2252	0.1747	0.1588	0.171	0.2279	0.432	0.2918	0.2788	0.4036	0.4261	0.2156	0.1397	0.3222	0.1706	0.1723	0.1331	0.1596	0.1981	0.1177	0.1153	0.1655	0.1335	0.2721	0.1151	0.2841	0.2116
IFT52	0.7035	0.4835	0.5644	0.4326	0.431	0.4597	0.375	0.5305	0.504	0.4265	0.5522	0.5419	0.5252	0.5492	0.3379	0.5656	0.6672	0.5142	0.2997	0.3523	0.4868	0.3745	0.3481	0.3089	1.0756	0.6685
IFT57	0.6446	0.4982	0.3819	0.3964	0.4115	0.7383	0.3579	0.6475	1.4731	0.7449	0.7702	0.4779	1.1983	0.7532	0.387	0.301	0.3277	0.328	0.4793	0.3095	0.4204	0.3197	0.35	0.3507	0.549	0.7145
IFT74	0.1395	0.1159	0.1716	0.1159	0.1264	0.2179	0.2362	0.2942	0.2962	0.4844	0.1435	0.2385	0.502	0.2368	0.2228	0.102	0.2057	0.0905	0.1941	0.0837	0.23	0.1541	0.0951	0.1203	0.1563	0.1638
IFT80	0.2496	0.1919	0.1561	0.3	0.2559	0.4434	0.3257	0.3172	0.4127	0.278	0.3336	0.3035	0.3928	0.2796	0.2237	0.2355	0.2354	0.2093	0.2418	0.1358	0.1986	0.2443	0.183	0.2329	0.3564	0.2075
IFT81	0.5159	0.3591	0.2973	0.306	0.3777	1.0304	0.352	0.6609	0.5094	0.7327	0.4607	0.4109	0.9014	0.3893	0.3146	0.3485	0.4204	0.266	0.3996	0.2323	0.5759	0.2851	0.3284	0.3023	0.5528	0.5771
IFT88	0.2127	0.1707	0.1456	0.1565	0.1712	0.2436	0.2994	0.4226	0.6682	0.3105	0.5447	0.1549	0.3194	0.2756	0.297	0.1262	0.2305	0.238	0.1106	0.1055	0.1436	0.1878	0.2806	0.1888	0.3353	0.3428
IGBP1	0.5204	0.3711	0.3221	0.3552	0.2944	0.3828	0.3012	0.5109	0.3836	0.4995	0.3601	0.2786	0.6238	0.279	0.2866	0.3795	0.4737	0.2848	0.7159	0.2417	0.3334	0.2892	0.3927	0.25	0.5821	0.7312
IGBP1P1_p1	0.0781	0.2899	0.1507	0.3029	0.2415	0.2668	0.2683	0.8673	0.3721	0.7393	0.1758	0.4226	0.3476	0.2627	0.3356	0.146	0.1859	1.7982	0.3986	0.5983	0.2355	0.2223	0.6682	0.1703	0.3735	0.2453
IGDCC3	1.0054	0.7711	0.5597	0.6228	0.7475	1.0407	1.2756	2.2778	1.6714	3.9656	1.9728	2.5785	4.0285	1.9868	1.7109	1.1789	1.0156	0.6084	0.892	0.644	0.6113	0.5145	0.617	0.57	0.829	1.0716
IGDCC4	0.1602	0.1743	0.1037	0.1501	0.1423	0.1407	0.2081	0.3592	0.2578	0.6452	0.321	0.2366	0.3318	0.3773	0.1997	0.1861	0.2922	0.1236	0.1413	0.2122	0.5184	0.1389	0.2083	0.143	0.181	0.1544
IGF1	0.0092	0.0736	0.0845	0.6429	0.256	0.055	0.044	0.1245	0.1098	0.0426	0.0292	0.0312	0.0689	0.0437	0.0382	0.1112	0.0699	0.041	0.1249	0.3219	0.3989	0.383	0.2346	0.1357	0.2154	0.0209
IGF1R	0.8694	0.8343	0.4857	0.4786	0.7633	0.6038	0.6754	0.6101	1.0066	0.554	0.786	0.6945	1.4033	0.5768	0.5068	0.6966	0.9565	0.6548	0.7849	0.4193	0.8219	0.5863	0.7655	0.7283	0.8199	0.8894
IGF2-AS	0.498	0.9786	2.2304	0.9791	1.0107	1.046	0.8621	0.8198	1.0066	1.0075	0.904	0.8108	1.0208	0.8103	0.7663	0.7911	0.8403	0.871	0.8288	0.8216	1.0021	0.9685	2.9776	1.8458	2.8307	0.9287
IGF2BP1	0.6074	0.5034	0.3574	0.3652	0.4627	0.434	0.3443	0.4002	0.4457	0.5989	1.1761	1.0436	2.078	1.1022	0.7872	0.6683	0.4202	0.4384	0.3362	0.3779	0.448	0.3003	0.3836	0.3711	0.5261	0.5937
IGF2BP2	1.1256	0.9084	0.6929	0.681	0.6385	0.7382	0.7094	0.9043	0.7895	0.7969	0.7297	0.7983	1.0113	0.6553	0.4807	0.6474	0.5985	0.5775	0.7847	0.5176	0.8261	0.5252	1.0793	0.7274	1.2992	0.7994
IGF2BP3	0.3806	0.3016	0.2686	0.3794	0.3217	0.4204	0.3214	0.2797	0.3234	0.7501	0.3844	0.591	0.9912	0.6176	0.3939	0.3991	0.4138	0.2233	0.1799	0.1634	0.2806	0.1969	0.2263	0.194	0.3381	0.462
IGF2R	0.1888	0.2645	0.2315	0.1466	0.2408	0.2475	0.1282	0.1889	0.2386	0.1738	0.181	0.1197	0.1546	0.1316	0.1881	0.1496	0.1309	0.1538	0.1405	0.1508	0.1777	0.1063	0.1407	0.2151	0.186	0.2141
IGFBP2	0.6849	1.7155	0.7169	0.4119	1.7975	2.5889	1.0805	2.1555	2.8906	1.5892	1.9099	0.9971	1.6629	1.0629	0.6093	0.3294	0.3352	0.3381	0.3897	0.285	0.4156	0.3548	0.3305	0.3388	0.5599	0.5239
IGFBP3	0.0153	1.721	0.1062	0.5624	0.2475	0.2815	0.0552	0.0326	0.0878	0.3233	0.128	0.2041	0.0755	0.3085	0.1385	0.1529	0.072	0.311	0.0814	0.0726	0.1035	0.0969	0.5217	0.0682	0.1856	0.0859
IGFBP4	0.045	1.2455	0.4106	0.0623	0.0765	0.1301	0.0971	0.1499	0.1077	0.1158	0.0663	0.0605	0.1459	0.0847	0.048	0.0337	0.0463	0.0377	0.0359	0.0701	0.2082	0.1481	0.0989	0.0406	0.0894	0.0488
IGFBP5	0.3649	0.3922	0.2931	0.2884	0.4922	0.8516	0.4602	1.1457	2.1287	3.5648	0.391	0.391	0.493	0.2181	0.3067	0.237	0.2707	0.2972	0.2643	0.1737	0.2498	0.2419	0.2259	0.3556	0.3548	0.2753
IGFBP6	0.6771	1.0905	1.8312	0.9044	0.9055	0.8857	1.0437	0.6466	1.2319	1.359	0.7462	0.596	0.891	1.4286	0.5409	0.8795	1.0912	0.7462	0.7282	1.0894	0.8334	1.1447	0.8443	1.0055	1.1355	1.3937
IGFBP7	0.0389	9.9207	9.1574	0.112	0.2512	0.2473	0.5396	0.4613	0.1523	0.5013	0.083	0.1204	0.0936	0.0667	0.0805	0.0765	0.0589	0.1125	0.0918	0.1657	0.0762	0.1255	0.2954	0.1806	0.1418	0.0494
IGFBP7-AS1	0.1655	1.7839	1.5829	0.5621	0.503	0.5415	0.3807	0.6156	6.6457	0.4713	0.4161	0.3259	0.4461	0.3266	0.2967	0.3422	0.4251	0.394	0.3899	2.8045	0.4496	0.4339	0.4591	0.7656	0.6892	0.3498
IGFBPL1	0.1348	0.1103	0.0836	0.2988	0.1245	0.1165	0.1603	0.1195	0.1298	0.1551	0.1213	0.3771	0.2101	0.2344	1.705	1.1783	0.6151	0.5514	0.6738	0.1941	0.2825	0.1369	0.2258	0.4591	0.2496	0.6807
IGFLR1	0.1718	0.5046	0.2118	3.188	0.3919	0.449	0.6531	0.3022	1.0108	0.7181	0.319	0.9597	1.3295	0.46	0.3867	0.6669	0.3216	1.0884	0.3312	0.3033	0.365	0.3574	0.4213	0.295	1.043	0.4025
IGFN1	0.1338	0.344	0.8786	0.4855	0.5096	0.48	0.3307	0.6491	0.4412	0.4403	0.3398	0.4996	0.7791	0.9998	0.9355	0.3098	0.368	0.9231	0.3852	0.8134	0.4511	0.4156	0.4877	4.8409	0.5987	0.5819
IGHMBP2	0.0362	0.0629	0.051	0.083	0.0728	0.0984	0.1093	0.0742	0.0566	0.0402	0.125	0.0381	0.1518	0.0899	0.0449	0.0656	0.0684	0.1342	0.0598	0.0267	0.0513	0.0686	0.0972	0.1104	0.2903	0.0662
IGIP	0.016	0.0773	0.0432	0.0834	0.1344	0.0717	0.03	0.0596	0.1501	0.1003	0.0584	0.0372	0.0422	0.075	0.0242	0.0652	0.0727	0.0984	0.1648	0.0837	0.0858	0.1511	0.154	0.2092	0.2135	0.0773
IGLL3P_p1	0.7862	0.8043	0.7719	0.9485	0.8183	1.3371	0.8498	1.6467	0.8678	1.8815	1.244	0.7839	0.8844	0.671	0.5576	0.7561	0.7295	1.0118	0.6663	0.6312	0.8667	1.5018	0.8131	0.646	1.2144	1.5029
IGLON5	0.1848	0.2418	0.1268	0.129	0.2589	0.1365	0.1465	0.1709	0.1552	0.1394	0.125	0.1153	0.1708	0.1428	0.1751	0.1278	0.2992	0.2493	0.1647	0.2305	0.2975	0.4509	0.2505	0.3075	0.2554	0.3593
IGSF1	0.0204	0.2008	0.0561	0.097	0.1372	0.3485	0.1344	0.2081	0.0537	0.8098	0.1949	0.0419	0.085	0.0578	0.0512	0.0334	0.0881	0.0523	0.0467	0.1485	0.0592	0.1811	0.084	0.1153	0.2703	0.0686
IGSF10	0.733	2.0789	1.1837	1.1225	1.1624	1.16	0.9076	1.0142	1.2451	2.396	1.0019	1.6832	1.1954	0.9337	0.8473	0.8871	0.9845	1.0112	0.964	0.854	1.1969	1.0433	2.2339	0.8952	1.4296	1.105
