	Sz	mEndo	mPeric	mMgl	mEpend	mRgl3	mRgl2	mRgl1	mNProg	mNbM	mNbML2	mNbL2	mNbDA	mDA0	mDA1	mDA2	mNbML1	mNbML3	mNbL1	mNbML4	mRN	mGaba1b	mGaba1a	mGaba2	mSert	mOMTN	mNbML5
Oxa1l	0.5595	0.4631	0.3351	0.5415	0.4768	0.3145	0.3834	0.3453	0.3798	0.2427	0.2205	0.3353	0.3637	0.2978	0.513	0.2735	0.318	0.5304	0.395	0.5965	0.4542	0.3633	0.2923	0.818	0.5382	0.8283	0.2238
Oxct1	2.1579	1.2817	1.0356	1.7727	4.9378	1.7755	1.7354	1.5533	1.1831	0.7571	0.7782	1.1106	1.0434	0.8981	2.3671	1.5137	0.9162	1.978	1.3037	2.3098	3.0076	2.3666	2.499	5.565	3.27	2.4238	0.9383
Oxgr1	0.5049	0.7336	1.311	0.9698	0.899	0.8222	0.7511	0.7693	0.9875	2.5046	0.558	0.7012	1.1924	1.6534	0.8441	0.8289	0.6938	0.9948	2.059	0.9997	0.9997	0.7198	0.8095	0.843	0.8867	1.4485	1.4434
Oxld1	0.1631	0.2541	0.328	0.2623	0.6042	0.667	0.2441	0.3392	0.3774	0.2216	0.3624	0.3027	0.2022	0.1706	0.2239	0.3971	0.3354	0.3728	0.2782	0.301	0.34	0.1548	0.1993	0.3483	0.2575	0.4046	0.2305
Oxnad1	0.0839	0.1313	0.1443	0.0803	0.1337	0.1315	0.114	0.1428	0.0699	0.0463	0.0565	0.0616	0.1344	0.2167	0.0896	0.1058	0.0966	0.1794	0.1694	0.1304	0.1713	0.0903	0.1128	0.2255	0.112	0.1626	0.0565
Oxr1	0.6284	0.5273	0.4641	0.5276	0.6236	0.3801	0.5713	0.4936	0.3707	0.2456	0.2339	0.3264	0.3334	0.2628	0.491	0.4214	0.7232	0.5275	0.4766	0.5716	0.6524	0.4896	0.5757	0.9315	0.806	1.0359	0.3241
Oxsm	0.1133	0.9212	0.222	0.3072	0.406	0.3479	0.6663	0.229	0.7596	0.1979	0.248	0.5667	0.1839	0.2372	0.3144	0.2925	0.2214	0.3216	0.6913	0.3485	0.8294	0.3585	0.2547	0.4057	1.3672	1.0131	0.1975
Oxsr1	0.4134	0.3441	0.3934	0.3182	0.378	0.3177	0.2634	0.4304	0.2553	0.1884	0.2923	0.7003	0.167	0.244	0.4325	0.2742	0.3625	0.2998	0.2859	0.4746	0.4447	0.2718	0.3776	0.7079	0.5478	0.4395	0.2043
Oxt	0.6867	0.866	0.8666	1.1192	1.0965	1.0404	1.4787	1.4565	1.1607	0.7382	0.6793	4.8532	0.7311	1.8675	0.9981	0.9302	0.8603	1.201	1.0642	1.2543	1.2053	0.8792	0.8885	1.8833	1.1104	1.1134	0.7642
Oxtr	0.4283	0.7595	0.8472	0.7715	0.7679	0.6965	0.5301	0.9146	0.8067	0.4887	0.4018	1.4713	0.4679	0.5559	0.6408	0.6695	0.5267	0.7137	0.7309	0.8348	0.7687	0.9666	1.0173	4.3672	1.0748	1.088	0.4828
P2rx1	0.2983	0.8135	2.1527	18.9979	0.7196	0.6767	0.5442	0.6021	0.7582	0.4995	0.4602	0.5394	2.1243	0.5518	0.6586	0.6411	0.5562	0.7226	0.7145	0.7839	0.7544	0.582	1.4308	0.6536	0.6795	0.6772	0.5032
P2rx2	0.8178	0.7988	1.0331	1.0236	0.9948	0.9984	0.7811	1.7897	0.8482	0.6751	0.5806	1.461	0.6132	0.7275	0.9146	0.9112	1.1247	1.078	1.6249	1.1044	1.151	1.2236	1.3184	2.0901	1.7896	1.2482	0.6887
P2rx3	0.5959	0.7164	1.0636	0.9852	0.9312	0.8862	0.7382	0.7172	0.6088	2.014	0.5469	2.0957	1.0118	2.6737	0.8598	0.8335	1.2087	0.9123	0.9373	0.9884	0.9817	1.1991	0.7578	1.1522	0.8621	1.2411	0.6735
P2rx4	0.0133	0.0616	0.0892	0.1637	0.1824	0.1304	0.0468	0.0384	0.0414	0.0202	0.0218	0.1038	0.0456	0.0502	0.0748	0.0766	0.0385	0.0357	0.196	0.1892	0.0571	0.1044	0.109	0.1145	0.1162	0.068	0.0586
P2rx6	0.0147	0.1724	0.0912	0.3596	1.2791	2.0647	0.484	0.1081	0.0761	0.1143	0.0738	0.0538	0.0489	0.0663	0.0955	0.0975	0.057	0.0879	0.0996	0.1038	0.0875	0.1844	0.0725	0.0691	0.0635	0.107	0.114
P2rx7	0.026	0.1988	0.1445	1.9726	1.9818	0.3358	0.4538	0.1591	0.2682	0.0755	0.1051	0.2442	0.0697	0.0982	0.1382	0.2917	0.1704	0.1325	0.1694	0.1663	0.1214	0.0838	0.1029	0.1501	0.1724	0.0907	0.1681
P2ry1	0.1085	0.1958	0.1749	0.2909	0.8687	0.5169	0.3799	0.4636	0.1709	0.1674	0.1117	0.2863	0.2641	0.6522	0.5267	0.254	0.3165	0.5062	0.2891	0.31	0.9964	0.306	0.4084	1.0633	0.669	0.2083	0.3002
P2ry12	0.0621	0.3967	0.2288	51.1993	0.4572	0.3555	0.8085	0.2592	0.3156	0.2426	0.1791	0.2579	0.2228	0.285	0.8914	0.3336	0.6058	0.3636	0.3804	0.3795	0.3414	0.2604	0.2806	0.3983	0.2725	0.2699	0.268
P2ry13	0.1207	0.7238	0.402	85.5496	0.5983	0.5387	0.4081	0.4268	0.313	0.4039	0.3079	1.9625	0.3788	0.4066	0.5206	0.5334	0.4163	0.5521	0.5458	0.5562	0.5118	0.3994	0.4801	0.4118	0.4656	0.4773	0.3906
P2ry14	0.0946	0.9385	9.0556	0.9743	0.4735	1.1178	0.2705	0.3123	0.206	0.2756	0.4473	0.2717	0.236	0.3141	0.9873	0.3744	0.6532	0.4053	0.4034	0.4338	0.7818	0.2908	0.7846	0.4493	0.3392	0.3253	0.3015
P2ry2	0.4587	0.7893	0.7566	2.0261	0.941	0.8967	0.8193	0.8091	0.6611	1.5145	0.6226	3.3517	1.4219	0.7829	0.9243	0.8304	1.5612	0.9943	0.9107	0.9383	0.974	0.7821	0.7568	1.3311	0.923	0.9791	0.6993
P2ry6	0.2898	0.6295	1.5081	50.0685	0.7645	0.7505	0.6816	0.6716	0.5611	0.5595	1.1753	0.6673	0.5599	0.5891	0.7296	0.6966	0.622	0.8158	0.6914	0.8608	0.7841	0.6346	0.6716	0.6954	0.7172	1.5932	0.5802
P4ha1	0.1884	0.4677	0.3438	1.1677	0.8486	0.8679	0.695	0.5745	0.3364	0.3059	0.0936	0.2232	0.1712	0.1707	0.2114	0.1182	0.12	0.1725	0.2821	0.1777	0.1855	0.1428	0.167	0.3052	0.2377	0.2211	0.1021
P4ha2	0.0214	0.0424	0.0921	0.1267	0.1526	0.0902	0.0611	0.027	0.0391	0.0231	0.0693	0.0743	0.0337	0.0563	0.123	0.0425	0.026	0.0704	0.1549	0.2469	0.063	0.0427	0.0492	0.1058	0.0817	0.0699	0.039
P4ha3	0.007	0.0447	0.1172	0.1293	0.7747	1.6256	0.5521	0.2407	0.1053	0.0193	0.0642	0.0334	0.0325	0.025	0.0411	0.0402	0.0216	0.0348	0.0452	0.0892	0.0297	0.0222	0.0559	0.0229	0.0903	0.0388	0.0426
P4hb	3.1582	3.7811	3.0636	3.6758	1.6053	3.6161	3.8407	2.8615	2.431	1.5507	1.2186	1.4934	1.1522	1.2374	1.6936	1.5921	1.4571	2.2669	1.8361	2.4896	2.6573	1.5106	1.6902	2.6242	2.366	2.4704	1.1141
P4htm	0.0413	0.0521	0.0944	0.1316	0.0906	0.1692	0.098	0.0897	0.0798	0.0673	0.0651	0.1452	0.0422	0.0641	0.1324	0.0878	0.0517	0.3133	0.1574	0.1038	0.2979	0.1456	0.1678	0.2626	0.1655	0.3565	0.0322
Pa2g4	1.8028	1.1593	0.9224	1.6207	1.0354	0.9508	1.0369	1.4862	1.7804	0.7254	0.638	1.0437	0.744	0.6984	0.9413	1.0384	0.8808	1.2344	1.0342	1.4204	1.4606	1.0008	0.9802	1.9349	1.5448	1.6743	0.9282
Pabpc1	16.903	19.287	12.4721	29.9077	8.2814	8.2906	9.7038	10.7853	14.6219	6.2019	5.5473	7.8159	5.703	6.1044	8.1155	7.3069	6.9566	10.6325	9.0769	11.412	12.1393	7.6796	7.6584	13.9867	11.4513	12.9087	5.9234
Pabpc2	0.4993	0.7919	1.3407	1.0119	0.9526	0.9017	0.7668	0.7871	2.8482	0.6751	1.1704	0.7832	0.6385	0.7207	0.9114	0.8488	0.7201	1.0098	2.1621	1.0675	1.0741	0.8081	1.6424	0.8965	0.9313	1.6561	0.6878
Pabpc4	0.5145	0.5096	0.3215	0.393	0.4036	0.2917	0.3033	0.3187	0.3644	0.2048	0.2096	0.8191	0.203	0.3037	0.3561	0.3262	0.2958	0.4058	0.4388	0.8022	0.5962	0.3419	0.2771	0.6119	0.4673	0.651	0.3073
Pabpc4l	0.0278	0.7784	0.8747	0.1452	0.5455	0.3227	0.2833	0.0859	0.3583	0.1518	0.0589	0.0822	0.1483	0.1039	0.1535	0.1416	0.1881	0.1431	0.3713	0.3479	0.245	0.0976	0.1113	0.0659	0.2647	0.2344	0.0835
Pabpc5	0.215	0.3365	0.3533	0.5001	0.5778	0.4909	0.6173	0.3913	0.2807	0.3262	0.4607	0.6716	0.595	0.7122	2.2098	0.497	0.3874	1.0009	2.2036	0.5737	0.4965	1.1673	0.414	0.763	2.349	0.7676	0.6419
Pabpc6	0.9665	2.0366	1.571	1.2429	1.2065	1.0635	1.03	1.6935	1.5957	1.4645	0.7612	0.9697	0.816	1.825	1.1006	0.9958	0.9729	1.2881	1.1994	1.351	1.3114	0.9654	1.0179	1.279	1.2595	1.3421	1.2491
Pabpn1	4.7017	2.7772	2.2089	2.9441	2.4218	2.4507	2.552	2.9096	3.233	2.8558	2.9299	4.7602	2.6262	2.5463	3.4784	2.2212	3.1113	4.7318	3.7678	4.4914	4.2355	2.6284	2.7309	4.2178	3.8977	4.2171	2.5857
Pabpn1l	0.7449	1.2131	1.0047	1.3635	1.2094	1.1564	1.1508	1.1135	3.7589	0.9227	0.8851	1.0775	0.8959	0.9749	1.1498	1.0503	1.0502	1.2908	1.1693	1.3983	1.4131	1.0606	1.1342	1.3267	1.283	2.275	0.9994
Pacrg	0.0083	0.0464	0.0575	0.0414	1.5409	0.6183	0.1672	0.0888	0.0364	0.0206	0.0138	0.0575	0.0176	0.0278	0.0869	0.1882	0.0235	0.2305	0.1031	0.269	0.066	0.0928	0.0893	0.1379	0.0446	0.9439	0.0211
Pacrgl	0.0104	0.0697	0.0676	0.115	0.4793	0.044	0.0855	0.0768	0.0643	0.0334	0.0208	0.0194	0.0175	0.0752	0.1319	0.1757	0.0828	0.036	0.0435	0.0416	0.0522	0.0341	0.052	0.0485	0.0376	0.1048	0.0377
Pacs1	0.4901	0.3314	0.3172	0.4363	0.3912	0.3054	0.365	0.2807	0.2537	0.3117	0.2054	0.5494	0.3015	0.449	0.37	0.4	0.2509	0.5648	0.647	0.5725	0.4248	0.5533	0.4501	1.2266	1.1865	0.7155	0.3248
Pacs2	0.3261	0.2184	0.2861	0.3103	0.601	0.4366	0.2031	0.3451	0.209	0.1787	0.1934	0.5618	0.3131	0.3575	0.4395	0.3754	0.2877	0.3786	0.2448	0.8306	0.4946	0.1867	0.2422	0.736	0.5222	0.4497	0.2571
Pacsin1	0.1103	0.0851	0.0672	0.3324	0.2004	0.1311	0.1052	0.0806	0.0766	0.0696	0.0545	0.3484	0.0628	0.133	0.1897	0.2255	0.1394	0.2459	0.3794	0.3096	0.1746	0.2671	0.2352	0.7617	0.3079	0.2215	0.1333
Pacsin2	0.0899	0.2623	0.4489	0.3664	0.8182	0.2698	0.202	0.2202	0.1333	0.147	0.0603	0.2149	0.0706	0.1109	0.0837	0.1004	0.0716	0.14	0.0913	0.2354	0.1236	0.0691	0.0813	0.1379	0.1916	0.1569	0.1699
Pacsin3	0.0042	0.036	0.0964	0.0721	0.1388	0.1833	0.2052	0.1575	0.0895	0.0503	0.0297	0.0449	0.013	0.0482	0.0331	0.0317	0.0164	0.0295	0.0402	0.0375	0.0248	0.0161	0.0209	0.0284	0.0187	0.0315	0.017
Padi2	0.1297	1.032	0.2703	0.4129	2.8796	4.1339	1.0447	0.2687	0.5003	0.2598	0.5962	0.2776	0.4764	0.3098	0.378	0.3601	0.2826	0.4111	0.4088	0.4607	0.3824	0.5242	0.6511	0.7838	0.3443	0.324	0.5881
Padi3	0.4785	2.433	0.7782	1.101	2.7876	0.9201	0.8338	0.8462	0.7457	1.6293	0.6749	3.8602	0.7535	0.8186	0.9576	0.8932	0.8141	0.9857	0.9976	1.1135	1.0027	0.8458	0.8957	0.8985	0.9669	1.0409	0.7286
Padi4	0.5938	0.788	1.2259	1.0059	1.0024	0.9443	1.2066	1.4887	1.678	0.6986	0.6175	0.7834	0.701	1.6608	2.0498	0.8981	0.804	1.0366	0.9569	1.1615	1.0864	0.8544	0.8683	1.9835	1.0409	0.9952	0.706
Paf1	0.6133	0.4143	0.4707	0.4379	0.9088	0.4193	0.3611	0.3649	0.3837	0.4108	0.3262	0.4237	0.3669	0.4378	0.352	0.4246	0.4416	0.4446	0.3915	0.7311	0.6528	0.365	0.3757	0.6971	0.8327	0.686	0.2592
Pafah1b1	3.4652	2.0861	1.7589	2.2636	1.8333	2.1747	2.1261	1.9134	1.6688	1.2906	1.2128	2.3847	1.3782	1.3988	1.9079	1.6951	1.525	2.2364	2.0109	2.8292	4.0196	1.949	1.9594	4.7068	2.8367	3.1686	1.2778
Pafah1b2	3.7939	2.2591	1.8163	2.3836	1.981	1.8796	1.9931	2.1987	1.8256	2.0833	1.2943	2.4159	2.167	1.9148	1.9813	1.7514	2.5071	3.1787	2.5849	2.7342	3.4283	2.3683	2.3514	5.1037	3.7805	3.3379	1.7684
Pafah1b3	3.0061	1.7742	1.3258	1.919	1.5475	1.7849	1.7485	2.1265	1.9451	2.1565	2.5891	1.7966	2.801	2.1736	3.7925	2.6923	3.0268	4.3429	5.8219	5.3961	6.1264	3.7507	2.6211	5.7031	4.6265	5.3512	2.2261
Pafah2	0.0235	0.153	0.1405	0.1732	0.1837	0.172	0.0544	0.1101	0.0434	0.0384	0.023	0.0674	0.0306	0.0486	0.0472	0.0408	0.0271	0.0673	0.0913	0.0518	0.1981	0.0976	0.107	0.0932	0.0563	0.1265	0.0394
Pag1	0.0553	0.0729	0.3295	0.3551	0.1002	0.5563	0.509	0.3917	0.1994	0.0391	0.0724	0.1687	0.1309	0.1003	0.1706	0.2244	0.2059	0.1377	0.2522	0.3175	0.1472	0.0964	0.079	0.3816	0.1479	0.0963	0.0407
Pagr1a	0.7213	0.5287	0.5477	0.5216	0.6777	0.459	0.4421	0.5266	0.4679	0.3126	0.4693	0.438	0.2976	0.4113	0.5274	0.4545	0.3356	0.5021	0.6078	0.6876	0.6029	0.4445	0.5732	0.6819	0.7972	0.8754	0.3204
Paics	1.7936	1.627	1.0604	2.1419	1.0362	1.6178	2.2774	2.4119	3.2496	0.637	0.6077	0.8544	0.6572	0.7105	0.9902	1.0677	0.8293	1.3711	1.0921	1.4916	1.4969	0.9329	1.0799	1.6343	1.6404	1.3907	0.6468
Paip1	0.8693	0.5502	0.6305	0.6131	0.5994	0.5574	0.6012	0.5768	0.5947	0.5265	0.3873	1.5269	0.5404	0.4893	0.6569	0.5675	0.5175	0.623	0.8799	0.8838	0.7807	0.5544	0.4299	0.9358	0.836	0.9495	0.5316
Paip2	3.93	2.3523	1.8412	2.4482	2.2979	2.3125	2.1183	2.0676	2.7025	2.0616	1.5255	2.9229	1.8944	2.1464	2.2311	1.8516	2.7097	3.5711	3.1792	4.0389	2.9858	1.9743	1.8497	3.3133	3.1983	3.328	1.3829
Paip2b	0.5908	0.398	0.2904	0.4627	0.4697	0.4502	0.3635	0.4028	0.4395	0.2789	0.372	0.3858	0.3271	0.5786	0.5554	0.3888	0.4842	0.5097	0.6886	0.6565	0.766	0.351	0.941	1.0803	0.5565	0.58	0.4467
Pak1	0.8704	0.5277	0.4071	0.681	0.5225	0.8555	0.505	0.4715	0.4346	0.4669	0.6368	1.1684	0.5213	0.7169	0.7299	0.5576	0.7251	1.7562	0.8186	2.0298	1.4851	0.9015	0.8497	2.1083	1.848	1.4499	0.6234
Pak1ip1	0.9844	0.766	0.5271	0.6611	0.6031	0.7601	0.865	0.8152	0.9435	0.5573	0.4372	0.551	0.3534	0.4295	0.5472	0.5679	0.5666	0.6726	0.6536	0.8556	0.7665	0.5444	0.666	0.9104	0.865	0.8171	0.3959
Pak2	1.0918	1.3306	0.6758	1.3011	0.7763	0.7048	0.8664	1.1121	0.7257	0.5611	0.4493	1.1344	0.4523	0.7493	0.6359	0.54	0.6139	0.756	0.6335	0.8056	1.0278	0.6277	0.6204	1.1046	0.9215	0.9727	0.6837
Pak3	2.3467	1.4037	1.0837	1.5296	1.6694	1.7176	1.2837	1.2464	1.6161	1.8114	1.3241	2.7603	1.7865	2.0559	3.4541	3.5837	1.6415	1.8486	1.4634	3.0793	2.7122	2.6247	3.3644	7.2448	3.847	2.7028	1.6382
Pak4	0.0219	0.1762	0.1155	0.0757	0.2737	0.2224	0.1208	0.2685	0.2368	0.084	0.048	0.2115	0.0358	0.0928	0.1352	0.0464	0.0291	0.0464	0.0531	0.1532	0.0667	0.0829	0.0349	0.093	0.0657	0.0461	0.0654
Pak6	0.1499	0.1065	0.095	0.2426	0.1601	0.1301	0.1374	0.1261	0.0878	0.0708	0.0738	0.2999	0.1533	0.126	0.2847	0.3055	0.2688	0.2544	0.2837	0.3471	0.2956	0.2985	0.3279	0.7201	0.5068	0.3126	0.1618
Pak7	0.8107	0.5073	0.4464	0.5917	0.495	0.5953	0.4771	0.5429	0.4217	1.1911	1.0596	1.2201	1.789	0.9091	1.4452	0.8862	1.1508	0.9811	1.0242	1.1105	1.7658	1.2348	1.0684	1.8569	1.5014	1.6468	0.9052
Palb2	0.0187	0.1401	0.2865	0.199	0.3539	0.1031	0.1146	0.1406	0.3567	0.0946	0.1285	0.2906	0.186	0.0584	0.1002	0.0941	0.1707	0.089	0.1146	0.2221	0.0768	0.0547	0.2121	0.0644	0.0612	0.1429	0.0994
Pald1	0.0438	1.0654	2.2413	1.1834	0.9346	1.0811	0.2103	0.2067	0.1065	0.0375	0.0475	0.2244	0.0689	0.1108	0.2374	0.1128	0.0871	0.0714	0.0794	0.0809	0.0698	0.0906	0.1627	0.2776	0.1504	0.1347	0.0394
Palld	0.017	0.0619	0.0288	0.1674	0.0929	0.1216	0.2297	0.2112	0.1756	0.1199	0.06	0.1005	0.0251	0.1545	0.0545	0.0568	0.058	0.053	0.129	0.1065	0.1665	0.1129	0.1168	0.1357	0.0603	0.0744	0.0305
Palm	0.7398	0.5094	0.4233	0.501	0.4066	0.4405	0.4222	0.4358	0.382	0.6983	0.4893	1.2404	0.5505	0.5224	0.7647	0.6885	0.6899	0.7388	0.5622	0.767	0.6342	0.4143	0.4666	1.4066	0.8183	0.8425	0.535
Palm2	0.0163	0.0801	0.1017	0.1949	0.0625	0.1479	0.0538	0.1066	0.0498	0.0189	0.0202	0.1198	0.0182	0.0948	0.2043	0.4309	0.0233	0.1861	0.0728	0.1642	0.226	0.2007	0.1743	0.6464	0.4763	0.1742	0.0724
Palm3	0.3165	0.4838	0.4633	0.5118	0.5566	0.4705	0.3442	0.4686	0.4972	0.4568	0.4783	0.9775	0.3673	0.3556	0.4576	0.7696	0.5229	0.7249	0.4991	0.5481	0.5039	0.5323	0.3998	1.452	0.7739	1.3134	0.3344
Palmd	0.0319	3.6012	0.0539	0.1138	0.2181	0.1287	0.109	0.1186	0.1331	0.0589	0.0942	0.2263	0.0811	0.0471	0.1789	0.0605	0.0413	0.1539	0.1353	0.2738	0.0623	0.0863	0.0835	0.207	0.3379	0.919	0.0377
Pam	0.3758	0.9039	0.3598	0.3004	0.6325	0.5415	0.5056	0.256	0.2681	0.4937	0.2115	0.5831	0.7593	0.2782	0.3308	0.346	0.2668	0.4478	0.3569	0.3722	0.3522	0.2536	0.3791	0.5605	0.9075	0.3647	0.2644
Pam16	2.1957	1.3339	1.0933	1.4747	1.3189	1.4275	1.2854	1.2018	1.0639	1.0456	1.0633	1.0631	0.9999	0.8526	1.9927	1.4793	1.6437	2.2336	2.2491	2.8193	2.2633	1.6305	1.2191	2.3022	2.1434	2.4407	1.1056
Pamr1	0.0078	0.1227	0.0417	0.0464	0.2067	1.701	0.2311	0.0488	0.0224	0.0208	0.0142	0.0635	0.0382	0.1481	0.0492	0.1661	0.0261	0.0435	0.0491	0.0487	0.067	0.0237	0.0671	0.2017	0.0482	0.043	0.0508
Pan2	0.1017	0.29	0.1855	0.1747	0.1095	0.1822	0.1119	0.1664	0.1806	0.1239	0.1876	0.3792	0.1053	0.159	0.125	0.0942	0.066	0.1917	0.1383	0.1025	0.1616	0.1162	0.1109	0.1732	0.1476	0.2328	0.0848
Pan3	0.3783	0.7671	0.2584	0.5327	0.4497	0.3807	0.2719	0.2682	0.2224	0.204	0.2138	0.4703	0.2187	0.2015	0.2724	0.4405	0.1799	0.292	0.3618	0.385	0.4196	0.2814	0.3892	0.5661	0.4099	0.3717	0.2393
Pank1	0.2365	0.2835	0.2554	0.1852	0.2803	0.2852	0.397	0.2721	0.1432	0.1557	0.1064	0.344	0.1198	0.2276	0.2037	0.283	0.1366	0.7136	0.1705	0.2929	0.3828	0.198	0.2224	0.6885	0.3162	0.3609	0.1133
Pank2	0.2246	0.3343	0.165	0.2311	0.2871	0.1804	0.2865	0.2992	0.2966	0.201	0.1204	0.2008	0.1734	0.1181	0.1603	0.1855	0.1663	0.2526	0.2227	0.2265	0.206	0.1172	0.1745	0.4024	0.2133	0.2718	0.2041
Pank3	1.3668	0.9507	0.6597	0.9315	0.9173	1.2017	1.0862	0.8366	0.8416	0.5275	0.5613	1.3041	0.5786	0.6221	0.8014	0.7038	0.6377	0.9889	0.7606	1.1212	1.1599	0.6731	0.8331	1.7604	1.0949	1.3574	0.5245
Pank4	0.192	0.2339	0.3122	0.3242	0.2418	0.3851	0.1404	0.1784	0.2271	0.165	0.16	0.222	0.1429	0.185	0.183	0.1081	0.1747	0.3607	0.1718	0.3834	0.2379	0.111	0.1716	0.3609	0.177	0.3448	0.158
Panx1	0.9769	0.5935	0.5105	0.6748	0.7728	0.5488	0.5894	0.556	0.522	0.5919	0.5568	0.7622	0.7578	1.0089	0.8753	0.8738	0.8853	1.7275	1.074	1.7247	1.6104	0.7699	0.8551	1.9462	1.4639	1.1005	0.7368
Panx2	0.0133	0.0249	0.0701	0.0657	0.215	0.0383	0.0357	0.0207	0.0208	0.0309	0.0594	0.0928	0.071	0.0915	0.1691	0.117	0.0201	0.1	0.0794	0.1139	0.0516	0.0878	0.1137	0.1581	0.1299	0.0886	0.0333
Paox	0.0088	0.0632	0.1327	0.1794	0.1301	0.0792	0.0465	0.0476	0.0496	0.0318	0.0184	0.0291	0.0257	0.0417	0.037	0.033	0.0325	0.0309	0.0737	0.0406	0.1002	0.0174	0.0715	0.0689	0.0879	0.0873	0.0177
Papd4	0.1195	0.2156	0.114	0.239	0.2011	0.1416	0.1225	0.1269	0.1444	0.2758	0.1013	0.1313	0.0751	0.0715	0.0996	0.0954	0.1705	0.1653	0.2046	0.2498	0.1649	0.144	0.0945	0.1694	0.2498	0.2135	0.0827
Papd5	0.4803	0.4386	0.3327	0.473	0.5458	0.2942	0.277	0.2965	0.3084	0.2169	0.1985	0.4161	0.2153	0.2199	0.2997	0.3393	0.3241	0.3489	0.3838	0.4647	0.5052	0.4052	0.3317	0.6389	0.5965	0.5419	0.2678
Papd7	0.4006	0.3378	0.3515	0.3065	0.2855	0.2422	0.2804	0.3051	0.3705	0.1573	0.1993	0.6495	0.3563	0.3326	0.3602	0.5115	0.2523	0.4173	0.3539	0.3997	0.6482	0.3465	0.312	0.4949	0.4097	0.4111	0.2934
Papl	0.5776	0.9154	0.8824	1.0865	1.0729	1.0769	0.9239	0.9059	0.8197	0.8075	0.7597	1.7274	0.7998	0.8359	1.0124	2.1311	0.8368	1.1428	2.3631	2.5385	1.1678	0.8599	0.9635	1.0939	1.1421	1.0971	1.8086
Papln	0.8122	0.9352	0.9072	1.2494	1.1832	1.9912	1.5836	0.9576	0.797	0.8123	1.1383	1.4184	0.7713	0.8617	1.0464	2.0672	0.9312	1.9641	1.1442	1.2673	1.2608	0.9457	0.983	1.4503	1.6432	1.6478	0.806
Papola	1.1746	1.1375	0.751	1.1124	0.704	0.8044	0.6667	0.8392	1.0271	0.6466	0.4774	1.2171	0.7364	0.5314	0.6459	0.6402	0.5106	0.9839	0.7718	0.8987	1.0424	0.6236	0.5656	1.2122	0.8366	0.9266	0.5535
Papolb	0.6147	1.1892	0.7442	0.8248	0.8349	0.7808	0.7377	0.6166	1.9121	0.8054	0.4367	0.6133	0.6947	0.8421	0.7428	0.725	0.5823	2.0223	1.2798	1.2771	0.884	0.5908	0.6614	0.9969	0.9872	1.3617	0.5138
Papolg	0.153	0.1516	0.1327	0.1339	0.1987	0.1728	0.1144	0.1158	0.2017	0.1228	0.1036	0.2505	0.1447	0.1307	0.2356	0.1923	0.1944	0.2434	0.1869	0.2129	0.3648	0.1832	0.1904	0.2184	0.3398	0.3232	0.0882
Pappa	0.0362	0.0472	0.0711	0.124	0.153	0.1396	0.1078	0.1749	0.0939	0.0787	0.1202	0.2614	0.0514	0.0359	0.0837	0.2321	0.3326	0.083	0.3168	0.1026	0.0955	0.1066	0.0397	0.1955	0.0676	0.0944	0.0669
Pappa2	0.0295	0.096	0.2238	0.1387	0.4901	0.1456	0.4313	0.1539	0.2829	0.0745	0.0504	0.1391	0.1385	0.1993	0.1337	0.1387	0.1637	0.1313	1.3793	0.1571	0.1076	0.4592	0.1045	0.3037	0.1565	0.4868	0.0784
Papss1	1.3229	0.8465	0.7676	0.9384	1.6976	0.8576	1.4863	0.8237	0.7143	0.4729	0.4525	0.6713	0.5872	0.7332	0.802	0.6841	0.677	0.9072	0.8618	1.0303	1.2117	0.8294	0.8844	1.2356	0.977	1.4542	0.5273
Papss2	0.2462	2.4897	0.4568	0.7282	0.7269	3.8437	1.6423	0.5466	0.664	0.9345	0.7524	0.4801	0.4363	1.2422	0.5707	0.6368	0.485	0.6469	0.6455	0.6993	1.2375	0.4855	0.5601	0.5637	0.608	0.5771	0.4735
Paqr3	0.0255	0.0355	0.066	0.0753	0.1288	0.0827	0.083	0.048	0.0388	0.0764	0.1221	0.2212	0.0952	0.1678	0.3778	0.1665	0.1799	0.3117	0.2934	0.165	0.2475	0.2108	0.1667	0.2493	0.1652	0.081	0.2252
Paqr4	0.4079	0.2621	0.2747	0.4262	0.8018	0.4803	0.5835	0.262	0.278	0.298	0.2875	0.6495	0.2062	0.293	0.3298	0.3017	0.3985	0.4199	0.4192	1.0258	0.9671	0.4313	0.2895	0.7722	0.6656	0.5719	0.3061
Paqr5	0.3859	0.9474	0.6462	0.8585	2.3147	0.8065	1.4857	0.7483	0.5947	0.6222	0.5298	2.723	2.7038	1.559	0.773	0.7634	0.65	0.9239	0.8543	0.9051	0.9346	0.7142	0.7132	0.821	0.813	0.8196	0.6232
Paqr6	0.3722	1.5586	2.144	0.8287	0.8446	1.8469	0.6504	0.6652	0.5544	0.5771	0.4705	1.2345	0.5771	0.653	1.9492	0.7627	0.6332	0.8384	0.8398	2.1258	0.8284	0.6628	1.478	0.7165	0.7625	0.7634	0.6011
Paqr7	0.0091	0.109	0.0267	0.1955	1.0467	0.476	0.4673	0.0595	0.0406	0.0155	0.0106	0.0283	0.052	0.0421	0.1436	0.1754	0.0309	0.031	0.035	0.1092	0.0691	0.0305	0.0232	0.0907	0.1956	0.0738	0.0331
